代码,名称,板块,行业,收盘价,涨幅%,成交额(亿),换手率%,总市值(亿),流通市值(亿),市盈率,市净率,累计涨停,累计跌停,5日涨幅%,10日涨幅%,20日涨幅%,60日涨幅%,上市日期,异动类型
300302,同有科技,创业板,-,24.83,20.01,19.41,22.22,-,-,-,-,1,0,23.66,41.08,33.71,33.28,-,放量大涨 + 涨停 + 突破 + 高换手
300042,朗科科技,创业板,-,61.08,20.0,29.32,25.49,-,-,-,-,2,0,56.54,77.87,85.26,128.51,-,放量大涨 + 涨停 + 突破 + 高换手
301128,强瑞技术,创业板,-,130.02,20.0,16.84,16.05,-,-,-,-,1,0,17.22,25.19,28.05,54.07,-,放量大涨 + 涨停 + 突破 + 高换手
301306,西测测试,创业板,-,131.21,20.0,16.77,23.65,-,-,-,-,1,0,27.87,31.33,21.92,66.83,-,放量大涨 + 涨停 + 突破 + 高换手
300166,东方国信,创业板,-,15.65,16.36,51.73,37.21,-,-,-,-,0,0,19.1,29.34,21.98,59.21,-,放量大涨 + 突破 + 高换手
688387,信科移动,科创板,-,16.0,14.7,18.74,6.15,-,-,-,-,0,0,-0.44,2.7,-0.31,89.57,-,放量大涨
300317,珈伟新能,创业板,-,6.01,14.26,15.2,30.03,-,-,-,-,1,0,6.0,4.7,32.09,52.93,-,放量大涨 + 突破 + 高换手
300383,光环新网,创业板,-,17.05,13.89,39.11,13.47,-,-,-,-,0,0,3.21,14.66,-4.0,26.95,-,放量大涨
300900,广联航空,创业板,-,41.59,13.63,20.92,20.53,-,-,-,-,0,0,-0.83,9.27,5.96,69.41,-,放量大涨 + 高换手
300249,依米康,创业板,-,18.91,13.51,14.77,21.62,-,-,-,-,0,0,0.75,1.56,19.01,34.98,-,放量大涨 + 高换手
688158,优刻得,科创板,-,47.31,13.21,46.55,25.35,-,-,-,-,2,0,-7.6,34.86,32.48,93.26,-,放量大涨 + 高换手
300499,高澜股份,创业板,-,41.4,13.21,29.77,27.4,-,-,-,-,1,0,-1.41,10.81,41.83,50.66,-,放量大涨 + 高换手
300672,国科微,创业板,-,198.2,11.98,44.64,11.2,-,-,-,-,0,0,41.25,42.44,37.82,94.49,-,放量大涨 + 突破
300113,顺网科技,创业板,-,29.04,11.91,28.29,19.31,-,-,-,-,1,0,-0.45,18.97,6.96,50.31,-,放量大涨 + 高换手
300502,新易盛,创业板,-,430.9,10.68,252.54,6.89,-,-,-,-,0,0,9.58,16.66,9.61,0.68,-,放量大涨 + 突破
300475,香农芯创,创业板,-,169.99,10.63,81.2,11.08,-,-,-,-,0,0,8.39,20.97,23.83,19.72,-,放量大涨 + 突破
301382,蜂助手,创业板,-,38.65,10.52,10.71,16.29,-,-,-,-,0,0,5.54,14.86,0.05,16.52,-,放量大涨 + 高换手
688385,复旦微电,科创板,-,77.5,10.46,17.27,4.29,-,-,-,-,0,0,7.19,-5.53,-6.63,24.22,-,异动
300846,首都在线,创业板,-,33.2,10.26,23.67,19.02,-,-,-,-,1,0,-8.51,3.72,20.73,77.26,-,放量大涨 + 高换手
300895,铜牛信息,创业板,-,63.62,10.2,11.1,12.98,-,-,-,-,1,0,0.54,24.06,14.53,38.45,-,放量大涨
600602,云赛智联,主板,-,22.61,10.02,24.56,10.46,-,-,-,-,2,0,-0.62,17.45,6.15,22.68,-,放量大涨 + 涨停
603618,杭电股份,主板,-,20.09,10.02,14.81,11.19,-,-,-,-,3,1,-2.48,-2.43,37.23,150.5,-,放量大涨 + 涨停
603220,中贝通信,主板,-,27.56,10.02,14.71,12.73,-,-,-,-,1,0,-4.07,8.63,7.61,23.26,-,放量大涨 + 涨停
603601,再升科技,主板,-,11.77,10.0,24.14,18.19,-,-,-,-,4,1,-5.46,2.35,7.0,39.62,-,放量大涨 + 涨停 + 高换手
002432,九安医疗,主板,-,59.95,10.0,22.18,8.79,-,-,-,-,3,0,2.44,17.57,41.86,48.72,-,放量大涨 + 涨停
002445,中南文化,主板,-,4.07,10.0,18.31,19.36,-,-,-,-,6,1,9.7,46.4,37.97,43.31,-,放量大涨 + 涨停 + 高换手
600370,三房巷,主板,-,3.63,10.0,14.69,10.65,-,-,-,-,4,0,61.33,70.42,41.25,69.63,-,放量大涨 + 涨停 + 突破
600307,酒钢宏兴,主板,-,2.42,10.0,14.03,9.5,-,-,-,-,3,1,28.04,30.81,31.52,48.47,-,放量大涨 + 涨停 + 突破
603052,可川科技,主板,-,63.49,10.0,10.57,9.31,-,-,-,-,2,1,4.46,10.05,1.36,97.67,-,放量大涨 + 涨停
001389,广合科技,主板,-,119.68,10.0,10.57,6.03,-,-,-,-,3,0,-3.56,14.3,17.74,54.95,-,放量大涨 + 涨停
001287,中电港,主板,-,24.64,10.0,10.31,9.77,-,-,-,-,1,0,6.67,12.0,4.85,10.1,-,放量大涨 + 涨停
603881,数据港,主板,-,38.74,9.99,27.69,10.22,-,-,-,-,1,0,0.28,6.78,-7.54,24.01,-,放量大涨 + 涨停
002565,顺灏股份,主板,-,16.21,9.97,40.78,24.78,-,-,-,-,2,1,13.91,14.96,-2.05,1.63,-,放量大涨 + 涨停 + 高换手
600590,泰豪科技,主板,-,15.44,9.97,14.09,11.43,-,-,-,-,3,1,-4.63,15.48,20.91,64.61,-,放量大涨 + 涨停
603803,瑞斯康达,主板,-,13.13,9.97,10.24,18.74,-,-,-,-,4,0,8.51,33.57,24.81,16.09,-,放量大涨 + 涨停 + 高换手
600666,奥瑞德,主板,-,4.44,9.9,10.63,9.99,-,-,-,-,2,0,4.23,22.65,14.73,34.14,-,放量大涨 + 涨停
688818,电科蓝天,科创板,-,67.2,9.86,24.44,28.35,-,-,-,-,0,0,-2.25,9.29,1.91,0.0,-,放量大涨 + 高换手
301165,锐捷网络,创业板,-,89.84,9.8,11.24,1.64,-,-,-,-,0,0,-4.06,6.17,15.48,7.55,-,异动
688525,佰维存储,科创板,-,258.09,9.46,119.78,10.14,-,-,-,-,1,0,20.58,46.65,60.29,121.21,-,放量大涨 + 突破
601872,招商轮船,主板,-,18.02,9.28,45.08,3.16,-,-,-,-,5,0,10.55,1.75,46.27,115.04,-,异动
300017,网宿科技,创业板,-,18.46,9.23,52.95,12.81,-,-,-,-,0,0,-4.75,2.5,-1.18,82.95,-,放量大涨
300738,奥飞数据,创业板,-,24.2,9.11,26.87,11.63,-,-,-,-,0,0,-3.2,4.45,-0.98,27.1,-,放量大涨
688166,博瑞医药,科创板,-,51.35,9.05,12.22,5.87,-,-,-,-,0,0,20.09,24.94,9.3,-3.44,-,放量大涨 + 突破
301005,超捷股份,创业板,-,151.8,8.64,15.41,7.97,-,-,-,-,0,0,-6.76,-7.52,-9.37,56.85,-,放量大涨
300857,协创数据,创业板,-,252.02,8.62,31.68,3.77,-,-,-,-,0,0,-0.24,2.34,16.13,77.22,-,异动
002202,金风科技,主板,-,31.0,8.58,136.8,13.51,-,-,-,-,1,0,2.51,151.83,175.31,212.82,-,放量大涨
300342,天银机电,创业板,-,44.96,8.42,25.54,13.92,-,-,-,-,0,0,5.37,7.05,-6.97,84.11,-,放量大涨
002897,意华股份,主板,-,66.66,8.39,11.3,9.65,-,-,-,-,0,0,-6.85,-2.71,16.13,41.53,-,放量大涨
300394,天孚通信,创业板,-,303.3,8.32,137.69,5.94,-,-,-,-,0,0,-8.37,-9.61,5.36,40.96,-,放量大涨
301308,江波龙,创业板,-,359.3,8.26,86.18,8.85,-,-,-,-,0,0,10.69,18.98,24.6,35.3,-,放量大涨 + 突破
600563,法拉电子,主板,-,124.47,8.23,19.79,7.12,-,-,-,-,0,0,4.68,9.13,16.53,21.26,-,放量大涨 + 突破
688380,中微半导,科创板,-,51.69,7.96,11.53,5.71,-,-,-,-,0,0,6.8,9.3,3.07,59.64,-,放量大涨 + 突破
002077,大港股份,主板,-,17.1,7.95,14.63,14.86,-,-,-,-,1,0,5.43,-2.01,2.46,21.28,-,放量大涨
688629,华丰科技,科创板,-,110.01,7.75,21.15,10.9,-,-,-,-,0,0,-6.16,-6.53,15.86,32.54,-,放量大涨
600821,金开新能,主板,-,10.45,7.73,59.34,28.26,-,-,-,-,6,0,5.77,32.78,80.48,97.54,-,放量大涨 + 高换手
002025,航天电器,主板,-,60.18,7.71,27.13,10.05,-,-,-,-,1,0,6.53,22.19,13.04,23.45,-,放量大涨 + 突破
300731,科创新源,创业板,-,76.85,7.59,12.26,13.52,-,-,-,-,0,0,6.56,1.47,23.87,59.24,-,放量大涨
002335,科华数据,主板,-,66.5,7.41,31.01,10.55,-,-,-,-,1,0,-2.16,17.35,11.8,17.08,-,放量大涨
688270,臻镭科技,科创板,-,155.18,7.35,21.39,6.66,-,-,-,-,0,0,-3.79,-3.1,-15.11,64.73,-,放量大涨
002636,金安国纪,主板,-,34.8,7.34,25.63,10.53,-,-,-,-,2,0,21.68,28.46,40.04,117.77,-,放量大涨 + 突破
688205,德科立,科创板,-,173.85,7.34,20.62,7.63,-,-,-,-,0,0,-6.66,-3.37,2.26,-0.4,-,放量大涨
600726,华电能源,主板,-,4.56,7.29,20.9,6.22,-,-,-,-,4,0,29.18,67.65,78.82,83.87,-,放量大涨 + 突破
688331,荣昌生物,科创板,-,123.35,7.2,11.62,5.91,-,-,-,-,0,0,3.74,39.08,15.59,42.24,-,放量大涨 + 突破
600026,中远海能,主板,-,24.88,7.15,34.82,4.07,-,-,-,-,4,1,9.31,4.58,45.16,118.05,-,异动
300442,润泽科技,创业板,-,86.91,7.1,51.78,3.76,-,-,-,-,0,0,-4.62,-8.13,13.61,62.72,-,异动
688498,源杰科技,科创板,-,889.0,7.08,29.6,3.99,-,-,-,-,0,0,-1.28,0.28,15.46,32.47,-,异动
300657,弘信电子,创业板,-,32.36,7.05,12.27,8.31,-,-,-,-,0,0,-3.83,4.89,2.76,12.32,-,放量大涨
600645,中源协和,主板,-,32.09,7.0,10.46,7.0,-,-,-,-,1,0,3.75,15.43,24.19,21.37,-,放量大涨 + 突破
688123,聚辰股份,科创板,-,133.38,6.88,15.05,7.26,-,-,-,-,0,0,1.72,3.79,-10.49,2.6,-,放量大涨
600875,东方电气,主板,-,40.17,6.84,52.33,5.94,-,-,-,-,3,0,-2.22,4.69,28.87,67.03,-,放量大涨
300308,中际旭创,创业板,-,580.0,6.81,214.36,3.42,-,-,-,-,0,0,4.56,7.61,4.37,-0.34,-,异动
688766,普冉股份,科创板,-,278.18,6.8,22.72,5.55,-,-,-,-,0,0,9.33,15.24,6.4,118.9,-,放量大涨
002654,万润科技,主板,-,16.58,6.76,14.22,10.35,-,-,-,-,0,0,3.24,23.36,17.84,22.72,-,放量大涨 + 突破
603929,亚翔集成,主板,-,181.88,6.74,16.76,4.51,-,-,-,-,3,0,38.52,35.52,24.56,103.92,-,突破
002938,鹏鼎控股,主板,-,54.9,6.6,26.16,2.11,-,-,-,-,0,0,3.35,4.25,-6.33,10.29,-,异动
603629,利通电子,主板,-,61.88,6.43,15.25,10.03,-,-,-,-,4,0,-2.01,8.07,19.16,124.69,-,放量大涨
002831,裕同科技,主板,-,38.08,6.37,10.5,5.65,-,-,-,-,2,0,11.8,22.84,19.3,31.86,-,放量大涨 + 突破
002463,沪电股份,主板,-,91.0,6.32,137.49,7.93,-,-,-,-,1,0,17.81,19.74,25.93,28.59,-,放量大涨 + 突破
300870,欧陆通,创业板,-,262.79,6.17,12.86,4.59,-,-,-,-,0,0,-8.06,-1.58,10.22,22.14,-,异动
002792,通宇通讯,主板,-,41.67,6.11,13.28,9.65,-,-,-,-,0,1,-3.27,-3.83,-13.08,43.2,-,放量大涨
688700,东威科技,科创板,-,53.86,6.02,12.53,7.9,-,-,-,-,0,0,22.63,34.28,31.21,54.55,-,放量大涨 + 突破
